name,abv,ibu,descript,brewery_id,category_id
Hocus Pocus,4.5,0,"Our take on a classic summer ale.  A toast to weeds, rays, and summer haze.  A light, crisp ale for mowing lawns, hitting lazy fly balls, and communing with nature, Hocus Pocus is offered up as a summer sacrifice to clodless days.
Its malty sweetness finishes tart and crisp and is best apprediated with a wedge of orange.",812,11
Grimbergen Blonde,6.7,0,,264,-1
Widdershins Barleywine,9.1,0,,779,-1
Lucifer,8.5,0,,287,-1
Bitter,4,0,,1056,-1
Winter Warmer,5.2,0,,1385,1
Winter Welcome 2007-2008,6,0,,1099,-1
Oatmeal Stout,5,0,,1099,3
Espresso Porter,0,0,,501,-1
Chocolate Stout,0,0,,545,3
Hitachino Nest Real Ginger Brew,7,0,,742,-1
JuJu Ginger,4,0,,779,-1
The Kidd Lager,0,0,,545,7
Imperial Stout,7,0,,1099,3
Oak-Aged Belgian Tripel,9,0,,1315,-1
Ultrablonde,8,0,,168,-1
Wiesen Edel Weisse,6.2,0,,1023,4
Old Foghorn 2001,10,0,,39,-1
Framboise,6,0,,196,-1
Cow Palace Scotch Ale 1998,8.7,0,,483,1
Bigfoot 2001,9.6,0,,1142,-1
Bigfoot 2002,9.6,0,,1142,-1
Bigfoot 2003,9.6,0,,1142,-1
Bigfoot 2004,9.6,0,,1142,-1
Bigfoot 2005,9.6,0,,1142,-1
Winter Ale,5.9,0,,1220,1
Full Moon Winter Ale,5.6,0,This full-bodied ale is brewed with roasted malts and a hint of Dark Belgian sugar for a perfectly balanced taste.,878,5
Odell IPA,7,0,"We took the traditional IPA, originally shipped from England to India in the 1700's, and made it bolder and more flavorful - American Style. We've added new varieties of highly aromatic American hops to create a distinctive bitterness profile and an incredible hop character.",935,3
Ornery Amber Lager,0,0,Ornery Amber is brewed with a blend of the finest European hops and gently roasted malts.,1271,8
Cutthroat Porter,4.8,0,"Not quite a stout but definitely no lightweight, Cutthroat Porter is smooth and robust. Inspired by the classic London porters, we use dark roasted malts to create a deep, rich color and flavor that hint at chocolate and coffee. We named it Cutthroat Porter as our tribute to the Colorado state fish - with its own rich heritage and unmistakable dark coloring. And while we're big fans of small batches, here's to the currently threatened Cutthroat population reaching mass quantities.",935,2
Maple Nut Brown Ale Ale,0,0,Maple syrup is added to each barrel of Maple Nut Brown Ale to impart roasted sweetness balancing the nut flavor produced by chocolate malts.,1271,3
Cocoa Porter,0,0,,1271,-1
Jenlain Blonde,7.5,0,,190,-1
Blonde,7.5,0,,196,-1
Flemish Primitive Wild Ale (Demon Fish),9,0,,432,-1
Witkap-Pater Tripel,7.5,0,,294,-1
Winter Cheer,0,0,,1175,3
Canaster Winter Scotch,8.7,0,,743,-1
16,10,0,,1307,-1
Quelque Chose,8,0,"Quelque Chose was launched in January 1996. This versatile beer was specifically developed as a winter beer because, when warmed to 70Ã‚ÂºC (160Ã‚ÂºF), it can be taken as a hot drink. On the other hand, on the rocks, it is a wonderful aperitif. The cherries are soaked for months in slightly bitter ale before being blended into the beer. Quelque Chose is made with dark roasted malts, and the end result is something commonly known as an authentic nectar. The most original of the Unibroue line, it is highly appreciated by winter-sports enthusiasts.",1307,5
Kriek,7,0,,277,-1
BiÃƒÂ¨re Darbyste,0,0,,170,11
Maracaibo Especial,7.5,0,"A rich brown ale inspired by the enigmatic monastic brews of Belgium, and the mysterious mist shrouded jungles of the tropics. Brewed with real cacao, and spiced with cinnamon and sweet orange peel for a sensual delight. A brew to be sipped, savored, and enjoyed!",723,3
Flemish Primitive Wild Ale (Pin Head),9,0,,432,-1
Calabaza Blanca,4.8,0,"Aged in large oak casks and refermented in the bottle, Calabaza Blanca is a Belgian Biere Blanche. Spiced with orange peel and corriander, you'll find it refreshingly tart, with a wonderfully dry finish.",723,5
Porter,0,0,,901,2
Cardinal Pale Ale,0,0,,901,3
Zinnebir Xmas,6.6,0,,176,-1
Bridal Ale 2005,0,0,,974,-1
Zinnebir,0,0,,176,3
Saison Imperiale,8.5,0,,432,-1
La Moneuse,8,0,,170,-1
Red Sled Winter Ale,0,0,,901,-1
Christmas Ale 2007,0,0,,39,-1
Equinox Dark Belgian Winter,8,0,,176,-1
Serafijn Christmas Angel,8,0,,856,-1
Obovoid Empirical Stout,8,0,,160,3
Furious Beer,6,0,"Like Hops? You'll like this fire-hued beer. This is the beer I have always dreamed of making. This is the beer that would come to mind while spending the last two years tearing down walls, hanging sheetrock, moving kegs, power washing the ceilings, arguing with various agencies, and cutting the water main. 
Without Golden Promise malt, made by family-owned Simpsons Malt, Furious would just be pissed off-ed. From Scotland, this malt is still produced in the tradition of turning over the barley by hand, resulting in a malt that is unsurpassed in its quality. Golden Promise is also used extensively by premium whisky distilleries such as The Macallan. This malt provides the backbone for the intense hop character. Four American hop varieties are used at a rate of over three pounds per barrel. The result is a rich malt sweetness infused with bright hop flavor and aroma from beginning to end. Oh yeah, it's about 6% alcohol and around 100 IBUs.",1221,3
Bender Beer,5.1,0,"This beer is an amalgamation of styles; brown/porter/apa. Five distinct malts, including two from Belgium, give this beer added complexity and depth. We also add oatmeal to this beer to give it a smooth texture not usually associated with this type of beer. We add large amounts of American finishing hops to give Bender a citrus hop aroma because... we like hops. This is a session beer weighing in around 5% alcohol and 25 IBUs. Grab one today, we think you will want another!",1221,3
Oak Aged Ebenezer,9.4,0,,1315,-1
Killer Penguin,10,0,,160,3
Oatmeal Stout,0,0,,236,3
Isolation Ale,6,0,"Ever been in a warm, cozy cabin and had a secret desire to get snowed in? To celebrate the winter season, we offer our Isolation Ale - a traditional winter brew made with premium malts imported from England. It's just one of the reasons Isolation Ale stands alone.",935,11
Festive Ale 2007,0,0,,501,-1
Bourbon County Stout 2007,13,0,,586,-1
Twelve Days,5.5,0,,670,3
Seriously Bad Elf,9,0,,1056,-1
Big Shot Seasonal Ale,0,0,,905,2
God Jul - Winter Ale,8.5,0,"A dark ale brewed specially for the Christmas season, with a rich, complex taste of caramel. This is a strong, dark and rather sweet Christmas Beer Ã¢â‚¬â€œ just the way we think a Christmas beer should be.",923,3
Harvest Ale 2007,6.7,0,,1142,3
Nut Cracker Ale,5.9,0,"Nutcracker Ale is BoulevardÃ¢â‚¬â„¢s holiday gift for real beer lovers. This hearty, warming brew is a classic winter ale, deep amber in color, with hints of molasses balanced by the Ã¢â‚¬Å“spicinessÃ¢â‚¬Â of freshly harvested Chinook hops.",161,11
Goosinator Smoked Doppelbock 2007,0,0,,779,8
Snow Bound Winter Ale,8.6,0,,779,-1
Warrior IPA,6.6,0,,779,3
Petrus Oud Bruin,5.5,0,,266,-1
Petrus Gouden Tripel Ale,7.5,0,,266,-1
Petrus Blond Ale,6.6,0,,266,-1
Petrus Dubbel Bruin Ale,6.5,0,,266,5
Petrus Speciale,5.5,0,,266,3
